id,name,description,Artist,image
1,S001 Queen of the Green Kingdom,Fully on chain data storage\nFully Painted by Artists\nMade in JAPAN ANIME ART\n\nこのprojectは日本の創作者集団「万象森羅DAO」のプロジェクトです。\n私たちは世界で初となるフルオンチェーン×アニメ絵×手描きのNFTコレクションを作り上げました。\nそしてこの技術で日本の多くのクリエイターを世界に注目させます。\nこのコレクションはその第一歩です。\n\n作画：東雲いづる\nhttps://linktr.ee/izuru_shinonome\nキャラクター原案：あねたろう　キャラクターデザイン：あづま十字\nhttps://opensea.io/collection/banshou-shinra,Izuru Shinonome,ipfs://QmcwWqYxjjbZynjhgs25ovKkxmKMpKEVfXexgPZ9kK4tjy
2,S002 The Loyal Samurai,Fully on chain data storage\nFully Painted by Artists\nMade in JAPAN ANIME ART\n\nこのprojectは日本の創作者集団「万象森羅DAO」のプロジェクトです。\n私たちは世界で初となるフルオンチェーン×アニメ絵×手描きのNFTコレクションを作り上げました。\nそしてこの技術で日本の多くのクリエイターを世界に注目させます。\nこのコレクションはその第一歩です。\n\n作画：東雲いづる\nhttps://linktr.ee/izuru_shinonome\nキャラクター原案：あねたろう　キャラクターデザイン：あづま十字\nhttps://opensea.io/collection/banshou-shinra,Izuru Shinonome,ipfs://QmR77GQSy2pBiQ8d81Rr7WzvN5S5VYcrnjm5snP3gyxrXz
3,S003 Savior Fox Medium,Fully on chain data storage\nFully Painted by Artists\nMade in JAPAN ANIME ART\n\nこのprojectは日本の創作者集団「万象森羅DAO」のプロジェクトです。\n私たちは世界で初となるフルオンチェーン×アニメ絵×手描きのNFTコレクションを作り上げました。\nそしてこの技術で日本の多くのクリエイターを世界に注目させます。\nこのコレクションはその第一歩です。\n\n作画：東雲いづる\nhttps://linktr.ee/izuru_shinonome\nキャラクター原案：あねたろう　キャラクターデザイン：あづま十字\nhttps://opensea.io/collection/banshou-shinra,Izuru Shinonome,ipfs://QmZP3jRjpV1Bayg7Bkkpk431gQ6zxyMLDSsQQVJPbQ2fwH
4,S004 Vagabond Harpy,Fully on chain data storage\nFully Painted by Artists\nMade in JAPAN ANIME ART\n\nこのprojectは日本の創作者集団「万象森羅DAO」のプロジェクトです。\n私たちは世界で初となるフルオンチェーン×アニメ絵×手描きのNFTコレクションを作り上げました。\nそしてこの技術で日本の多くのクリエイターを世界に注目させます。\nこのコレクションはその第一歩です。\n\n作画：東雲いづる\nhttps://linktr.ee/izuru_shinonome\nキャラクター原案：あねたろう　キャラクターデザイン：あづま十字\nhttps://opensea.io/collection/banshou-shinra,Izuru Shinonome,ipfs://Qmf8M6CAQBx3DjW4qgZj4WD5PYn6UiJ6fTq4LTzScFZaMh
5,S005 Queen of the Aqua Kingdom,Fully on chain data storage\nFully Painted by Artists\nMade in JAPAN ANIME ART\n\nこのprojectは日本の創作者集団「万象森羅DAO」のプロジェクトです。\n私たちは世界で初となるフルオンチェーン×アニメ絵×手描きのNFTコレクションを作り上げました。\nそしてこの技術で日本の多くのクリエイターを世界に注目させます。\nこのコレクションはその第一歩です。\n\n作画：東雲いづる\nhttps://linktr.ee/izuru_shinonome\nキャラクター原案：あねたろう　キャラクターデザイン：あづま十字\nhttps://opensea.io/collection/banshou-shinra,Izuru Shinonome,ipfs://QmaJQVdMHAo3dX7ZMp6JkRAYFHeJ59kdjG5ifLpMSy6Uxu
6,S006 Soldier Princess of the Aqua Kingdom,Fully on chain data storage\nFully Painted by Artists\nMade in JAPAN ANIME ART\n\nこのprojectは日本の創作者集団「万象森羅DAO」のプロジェクトです。\n私たちは世界で初となるフルオンチェーン×アニメ絵×手描きのNFTコレクションを作り上げました。\nそしてこの技術で日本の多くのクリエイターを世界に注目させます。\nこのコレクションはその第一歩です。\n\n作画：東雲いづる\nhttps://linktr.ee/izuru_shinonome\nキャラクター原案：あねたろう　キャラクターデザイン：あづま十字\nhttps://opensea.io/collection/banshou-shinra,Izuru Shinonome,ipfs://Qmd3BKgaavRhsdnAkJpjBUK27txTf4onGgWkaEEMyrPgyg
7,S007 The Deep Sea Philosopher,Fully on chain data storage\nFully Painted by Artists\nMade in JAPAN ANIME ART\n\nこのprojectは日本の創作者集団「万象森羅DAO」のプロジェクトです。\n私たちは世界で初となるフルオンチェーン×アニメ絵×手描きのNFTコレクションを作り上げました。\nそしてこの技術で日本の多くのクリエイターを世界に注目させます。\nこのコレクションはその第一歩です。\n\n作画：東雲いづる\nhttps://linktr.ee/izuru_shinonome\nキャラクター原案：あねたろう　キャラクターデザイン：あづま十字\nhttps://opensea.io/collection/banshou-shinra,Izuru Shinonome,ipfs://QmZqoGU9JXzi9He1oxpEVXaBQ25y8QDDo7ECoiPigHXCmR
8,S008 Siren Youth Fighter,Fully on chain data storage\nFully Painted by Artists\nMade in JAPAN ANIME ART\n\nこのprojectは日本の創作者集団「万象森羅DAO」のプロジェクトです。\n私たちは世界で初となるフルオンチェーン×アニメ絵×手描きのNFTコレクションを作り上げました。\nそしてこの技術で日本の多くのクリエイターを世界に注目させます。\nこのコレクションはその第一歩です。\n\n作画：東雲いづる\nhttps://linktr.ee/izuru_shinonome\nキャラクター原案：あねたろう　キャラクターデザイン：あづま十字\nhttps://opensea.io/collection/banshou-shinra,Izuru Shinonome,ipfs://QmR6PsPkwLhnvYEQRojrtKY14zmrHXeC5bYmfobGrfUGCi
9,S009 The Ancient Jewel Turtle,Fully on chain data storage\nFully Painted by Artists\nMade in JAPAN ANIME ART\n\nこのprojectは日本の創作者集団「万象森羅DAO」のプロジェクトです。\n私たちは世界で初となるフルオンチェーン×アニメ絵×手描きのNFTコレクションを作り上げました。\nそしてこの技術で日本の多くのクリエイターを世界に注目させます。\nこのコレクションはその第一歩です。\n\n作画：東雲いづる\nhttps://linktr.ee/izuru_shinonome\nキャラクター原案：あねたろう　キャラクターデザイン：あづま十字\nhttps://opensea.io/collection/banshou-shinra,Izuru Shinonome,ipfs://Qmbxh3eWGyPGDuvL1ApjqHB7x5164CA5ud7AHd6WCA2LJf
10,S010 The Puppet Dictator of Terra Firma,Fully on chain data storage\nFully Painted by Artists\nMade in JAPAN ANIME ART\n\nこのprojectは日本の創作者集団「万象森羅DAO」のプロジェクトです。\n私たちは世界で初となるフルオンチェーン×アニメ絵×手描きのNFTコレクションを作り上げました。\nそしてこの技術で日本の多くのクリエイターを世界に注目させます。\nこのコレクションはその第一歩です。\n\n作画：東雲いづる\nhttps://linktr.ee/izuru_shinonome\nキャラクター原案：あねたろう　キャラクターデザイン：あづま十字\nhttps://opensea.io/collection/banshou-shinra,Izuru Shinonome,ipfs://QmfKWE6NWvyWP3QgXadvcYjEtDnr6aVfLgNN6HPT2d2cJ5
